SBC008178,SBCDE00033_PL01
SBC008190,SBCDE00033_PL02
SBC008196,SBCDE00033_PL03
SBC008205,SBCDE00033_PL04
SBC008210,SBCDE00033_PL05
SBC008216,SBCDE00033_PL06
SBC008224,SBCDE00033_PL07
SBC008230,SBCDE00033_PL08
SBC008237,SBCDE00033_PL09
SBC008242,SBCDE00033_PL10
SBC008245,SBCDE00033_PL11
SBC008247,SBCDE00033_PL12
SBC008251,SBCDE00033_PL13
SBC008253,SBCDE00033_PL14
SBC008259,SBCDE00033_PL15
SBC008264,SBCDE00033_PL16
SBC008266,SBCDE00033_PL17
SBC008269,SBCDE00033_PL18
SBC008273,SBCDE00033_PL19
SBC008274,SBCDE00033_PL20
SBC008276,SBCDE00033_PL21
SBC008280,SBCDE00033_PL22
SBC008284,SBCDE00033_PL23
SBC008289,SBCDE00033_PL24
SBC008290,SBCDE00035_PL01
SBC008296,SBCDE00035_PL02
SBC008301,SBCDE00035_PL03
SBC008304,SBCDE00035_PL04
SBC008307,SBCDE00035_PL05
SBC008311,SBCDE00035_PL06
SBC008315,SBCDE00035_PL07
SBC008318,SBCDE00035_PL08
SBC008322,SBCDE00035_PL09
SBC008323,SBCDE00035_PL10
SBC008324,SBCDE00035_PL11
SBC008327,SBCDE00035_PL12
SBC008328,SBCDE00035_PL13
SBC008330,SBCDE00035_PL14
SBC008332,SBCDE00035_PL15
SBC008335,SBCDE00035_PL16
SBC008337,SBCDE00035_PL17
SBC008339,SBCDE00035_PL18
SBC008341,SBCDE00035_PL19
SBC008342,SBCDE00035_PL20
SBC008343,SBCDE00035_PL21
SBC008345,SBCDE00035_PL22
SBC008346,SBCDE00035_PL23
SBC008348,SBCDE00035_PL24
SBC008349,SBCDE00035_PL25
SBC008351,SBCDE00035_PL26
SBC008352,SBCDE00035_PL27
SBC008353,SBCDE00035_PL28
SBC008354,SBCDE00035_PL29
SBC008356,SBCDE00035_PL30
SBC008357,SBCDE00035_PL31
SBC008359,SBCDE00035_PL32
SBC008361,SBCDE00035_PL33
SBC008362,SBCDE00035_PL34
SBC008363,SBCDE00035_PL35
SBC008364,SBCDE00035_PL36
SBC008365,SBCDE00035_PL37
SBC008366,SBCDE00035_PL38
SBC008367,SBCDE00035_PL39
SBC008368,SBCDE00035_PL40
SBC008369,SBCDE00035_PL41
SBC008370,SBCDE00035_PL42
SBC008371,SBCDE00035_PL43
SBC008372,SBCDE00035_PL44
SBC008373,SBCDE00035_PL45
SBC008374,SBCDE00035_PL46
SBC008375,SBCDE00035_PL47
SBC008376,SBCDE00035_PL48
SBC007592,SBCDE00039_PL01
SBC007600,SBCDE00039_PL02
SBC007604,SBCDE00039_PL03
SBC007608,SBCDE00039_PL04
SBC007611,SBCDE00039_PL05
SBC007617,SBCDE00039_PL06
SBC007619,SBCDE00039_PL07
SBC007622,SBCDE00039_PL08
SBC007626,SBCDE00039_PL09
SBC007628,SBCDE00039_PL10
SBC007630,SBCDE00039_PL11
SBC007632,SBCDE00039_PL12
