DWPBarcode,DWPWell,PetriDishID,ColonyID
190107ONCD35_04,A1,,7963_A10_0001
190107ONCD35_04,B1,,7963_A10_0002
190107ONCD35_04,C1,,7963_A10_0003
190107ONCD35_04,D1,,7963_A10_0004
190107ONCD35_04,E1,,7944_B10_0005
190107ONCD35_04,F1,,7944_B10_0006
190107ONCD35_04,G1,,7944_B10_0007
190107ONCD35_04,H1,,7944_B10_0008
190107ONCD35_04,A2,,7947_C10_0009
190107ONCD35_04,B2,,7947_C10_0010
190107ONCD35_04,C2,,7947_C10_0011
190107ONCD35_04,D2,,7947_C10_0012
190107ONCD35_04,E2,,7950_D10_0013
190107ONCD35_04,F2,,7950_D10_0014
190107ONCD35_04,G2,,7950_D10_0015
190107ONCD35_04,H2,,7950_D10_0016
190107ONCD35_04,A3,,7954_E10_0017
190107ONCD35_04,B3,,7954_E10_0018
190107ONCD35_04,C3,,7954_E10_0019
190107ONCD35_04,D3,,7954_E10_0020
190107ONCD35_04,E3,,7958_F10_0021
190107ONCD35_04,F3,,7958_F10_0022
190107ONCD35_04,G3,,7958_F10_0023
190107ONCD35_04,H3,,7958_F10_0024
190107ONCD35_04,A4,,7961_G10_0025
190107ONCD35_04,B4,,7961_G10_0026
190107ONCD35_04,C4,,7961_G10_0027
190107ONCD35_04,D4,,7961_G10_0028
190107ONCD35_04,E4,,7963_H10_0029
190107ONCD35_04,F4,,7963_H10_0030
190107ONCD35_04,G4,,7963_H10_0031
190107ONCD35_04,H4,,7963_H10_0032
190107ONCD35_04,A5,,7970_A11_0033
190107ONCD35_04,B5,,7970_A11_0034
190107ONCD35_04,C5,,7970_A11_0035
190107ONCD35_04,D5,,7970_A11_0036
190107ONCD35_04,E5,,7973_B11_0037
190107ONCD35_04,F5,,7973_B11_0038
190107ONCD35_04,G5,,7973_B11_0039
190107ONCD35_04,H5,,7973_B11_0040
190107ONCD35_04,A6,,7976_C11_0041
190107ONCD35_04,B6,,7976_C11_0042
190107ONCD35_04,C6,,7976_C11_0043
190107ONCD35_04,D6,,7976_C11_0044
190107ONCD35_04,E6,,7978_D11_0045
190107ONCD35_04,F6,,7978_D11_0046
190107ONCD35_04,G6,,7978_D11_0047
190107ONCD35_04,H6,,7978_D11_0048
190107ONCD35_04,A7,,7981_E11_0049
190107ONCD35_04,B7,,7981_E11_0050
190107ONCD35_04,C7,,7981_E11_0051
190107ONCD35_04,D7,,7981_E11_0052
190107ONCD35_04,E7,,7986_F11_0053
190107ONCD35_04,F7,,7986_F11_0054
190107ONCD35_04,G7,,7986_F11_0055
190107ONCD35_04,H7,,7986_F11_0056
190107ONCD35_04,A8,,7990_G11_0057
190107ONCD35_04,B8,,7990_G11_0058
190107ONCD35_04,C8,,7990_G11_0059
190107ONCD35_04,D8,,7990_G11_0060
190107ONCD35_04,E8,,7992_H11_0061
190107ONCD35_04,F8,,7992_H11_0062
190107ONCD35_04,G8,,7992_H11_0063
190107ONCD35_04,H8,,7992_H11_0064
190107ONCD35_04,A9,,7996_A12_0065
190107ONCD35_04,B9,,7996_A12_0066
190107ONCD35_04,C9,,7996_A12_0067
190107ONCD35_04,D9,,7996_A12_0068
190107ONCD35_04,E9,,7997_B12_0069
190107ONCD35_04,F9,,7997_B12_0070
190107ONCD35_04,G9,,7997_B12_0071
190107ONCD35_04,H9,,7997_B12_0072
190107ONCD35_04,A10,,7999_C12_0073
190107ONCD35_04,B10,,7999_C12_0074
190107ONCD35_04,C10,,7999_C12_0075
190107ONCD35_04,D10,,7999_C12_0076
190107ONCD35_04,E10,,8002_D12_0077
190107ONCD35_04,F10,,8002_D12_0078
190107ONCD35_04,G10,,8002_D12_0079
190107ONCD35_04,H10,,8002_D12_0080
190107ONCD35_04,A11,,8005_E12_0081
190107ONCD35_04,B11,,8005_E12_0082
190107ONCD35_04,C11,,8005_E12_0083
190107ONCD35_04,D11,,8005_E12_0084
190107ONCD35_04,E11,,8007_F12_0085
190107ONCD35_04,F11,,8007_F12_0086
190107ONCD35_04,G11,,8007_F12_0087
190107ONCD35_04,H11,,8007_F12_0088
190107ONCD35_04,A12,,8011_G12_0089
190107ONCD35_04,B12,,8011_G12_0090
190107ONCD35_04,C12,,8011_G12_0091
190107ONCD35_04,D12,,8011_G12_0092
190107ONCD35_04,E12,,8015_H12_0093
190107ONCD35_04,F12,,8015_H12_0094
190107ONCD35_04,G12,,8015_H12_0095
190107ONCD35_04,H12,,8015_H12_0096
