DWPBarcode,DWPWell,PetriDishID,ColonyID
181115ONCD395,A1,A1_SBC007592,A1_SBC007592_0001
181115ONCD395,B1,A1_SBC007592,A1_SBC007592_0002
181115ONCD395,C1,A1_SBC007592,A1_SBC007592_0003
181115ONCD395,D1,A1_SBC007592,A1_SBC007592_0004
181115ONCD395,E1,A1_SBC007592,A1_SBC007592_0005
181115ONCD395,F1,A1_SBC007592,A1_SBC007592_0006
181115ONCD395,G1,A1_SBC007592,A1_SBC007592_0007
181115ONCD395,H1,A1_SBC007592,A1_SBC007592_0008
181115ONCD395,A2,B1_SBC007600,B1_SBC007600_0009
181115ONCD395,B2,B1_SBC007600,B1_SBC007600_0010
181115ONCD395,C2,B1_SBC007600,B1_SBC007600_0011
181115ONCD395,D2,B1_SBC007600,B1_SBC007600_0012
181115ONCD395,E2,B1_SBC007600,B1_SBC007600_0013
181115ONCD395,F2,B1_SBC007600,B1_SBC007600_0014
181115ONCD395,G2,B1_SBC007600,B1_SBC007600_0015
181115ONCD395,H2,B1_SBC007600,B1_SBC007600_0016
181115ONCD395,A3,C1_SBC007604,C1_SBC007604_0017
181115ONCD395,B3,C1_SBC007604,C1_SBC007604_0018
181115ONCD395,C3,C1_SBC007604,C1_SBC007604_0019
181115ONCD395,D3,C1_SBC007604,C1_SBC007604_0020
181115ONCD395,E3,C1_SBC007604,C1_SBC007604_0021
181115ONCD395,F3,C1_SBC007604,C1_SBC007604_0022
181115ONCD395,G3,C1_SBC007604,C1_SBC007604_0023
181115ONCD395,H3,C1_SBC007604,C1_SBC007604_0024
181115ONCD395,A4,D1_SBC007608,D1_SBC007608_0025
181115ONCD395,B4,D1_SBC007608,D1_SBC007608_0026
181115ONCD395,C4,D1_SBC007608,D1_SBC007608_0027
181115ONCD395,D4,D1_SBC007608,D1_SBC007608_0028
181115ONCD395,E4,D1_SBC007608,D1_SBC007608_0029
181115ONCD395,F4,D1_SBC007608,D1_SBC007608_0030
181115ONCD395,G4,D1_SBC007608,D1_SBC007608_0031
181115ONCD395,H4,D1_SBC007608,D1_SBC007608_0032
