DWPBarcode,DWPWell,PetriDishID,ColonyID
190107ONCD35_05,A1,SBC008290_D35,SBC008290_D35_0001
190107ONCD35_05,B1,SBC008290_D35,SBC008290_D35_0002
190107ONCD35_05,C1,SBC008296_D35,SBC008296_D35_0003
190107ONCD35_05,D1,SBC008296_D35,SBC008296_D35_0004
190107ONCD35_05,E1,SBC008296_D35,SBC008296_D35_0005
190107ONCD35_05,F1,SBC008296_D35,SBC008296_D35_0006
190107ONCD35_05,G1,SBC008301_D35,SBC008301_D35_0007
190107ONCD35_05,H1,SBC008301_D35,SBC008301_D35_0008
190107ONCD35_05,A2,SBC008301_D35,SBC008301_D35_0009
190107ONCD35_05,B2,SBC008301_D35,SBC008301_D35_0010
190107ONCD35_05,C2,SBC008304_D35,SBC008304_D35_0011
190107ONCD35_05,D2,SBC008304_D35,SBC008304_D35_0012
190107ONCD35_05,E2,SBC008304_D35,SBC008304_D35_0013
190107ONCD35_05,F2,SBC008304_D35,SBC008304_D35_0014
190107ONCD35_05,G2,SBC008307_D35,SBC008307_D35_0015
190107ONCD35_05,H2,SBC008307_D35,SBC008307_D35_0016
190107ONCD35_05,A3,SBC008307_D35,SBC008307_D35_0017
190107ONCD35_05,B3,SBC008307_D35,SBC008307_D35_0018
190107ONCD35_05,C3,SBC008311_D35,SBC008311_D35_0019
190107ONCD35_05,D3,SBC008311_D35,SBC008311_D35_0020
190107ONCD35_05,E3,SBC008311_D35,SBC008311_D35_0021
190107ONCD35_05,F3,SBC008311_D35,SBC008311_D35_0022
190107ONCD35_05,G3,SBC008315_D35,SBC008315_D35_0023
190107ONCD35_05,H3,SBC008315_D35,SBC008315_D35_0024
190107ONCD35_05,A4,SBC008318_D35,SBC008318_D35_0025
190107ONCD35_05,B4,SBC008318_D35,SBC008318_D35_0026
190107ONCD35_05,C4,SBC008318_D35,SBC008318_D35_0027
190107ONCD35_05,D4,SBC008318_D35,SBC008318_D35_0028
190107ONCD35_05,A4,SBC008322_D35,SBC008322_D35_0029
190107ONCD35_05,B4,SBC008322_D35,SBC008322_D35_0030
190107ONCD35_05,C4,SBC008322_D35,SBC008322_D35_0031
190107ONCD35_05,D4,SBC008322_D35,SBC008322_D35_0032
190107ONCD35_05,E4,SBC008323_D35,SBC008323_D35_0033
190107ONCD35_05,F4,SBC008323_D35,SBC008323_D35_0034
190107ONCD35_05,G4,SBC008323_D35,SBC008323_D35_0035
190107ONCD35_05,H4,SBC008323_D35,SBC008323_D35_0036
190107ONCD35_05,A5,SBC008324_D35,SBC008324_D35_0037
190107ONCD35_05,B5,SBC008324_D35,SBC008324_D35_0038
190107ONCD35_05,C5,SBC008324_D35,SBC008324_D35_0039
190107ONCD35_05,D5,SBC008324_D35,SBC008324_D35_0040
190107ONCD35_05,E5,SBC008327_D35,SBC008327_D35_0041
190107ONCD35_05,F5,SBC008327_D35,SBC008327_D35_0042
190107ONCD35_05,G5,SBC008327_D35,SBC008327_D35_0043
190107ONCD35_05,H5,SBC008327_D35,SBC008327_D35_0044
190107ONCD35_05,A6,SBC008328_D35,SBC008328_D35_0045
190107ONCD35_05,B6,SBC008328_D35,SBC008328_D35_0046
190107ONCD35_05,C6,SBC008328_D35,SBC008328_D35_0047
190107ONCD35_05,D6,SBC008328_D35,SBC008328_D35_0048
190107ONCD35_05,E6,SBC008330_D35,SBC008330_D35_0049
190107ONCD35_05,F6,SBC008330_D35,SBC008330_D35_0050
190107ONCD35_05,G6,SBC008330_D35,SBC008330_D35_0051
190107ONCD35_05,H6,SBC008330_D35,SBC008330_D35_0052
190107ONCD35_05,A7,SBC008332_D35,SBC008332_D35_0053
190107ONCD35_05,B7,SBC008332_D35,SBC008332_D35_0054
190107ONCD35_05,C7,SBC008332_D35,SBC008332_D35_0055
190107ONCD35_05,D7,SBC008332_D35,SBC008332_D35_0056
190107ONCD35_05,E7,SBC008335_D35,SBC008335_D35_0057
190107ONCD35_05,F7,SBC008335_D35,SBC008335_D35_0058
190107ONCD35_05,G7,SBC008335_D35,SBC008335_D35_0059
190107ONCD35_05,H7,SBC008335_D35,SBC008335_D35_0060
190107ONCD35_05,A8,SBC008337_D35,SBC008337_D35_0061
190107ONCD35_05,B8,SBC008337_D35,SBC008337_D35_0062
190107ONCD35_05,C8,SBC008337_D35,SBC008337_D35_0063
190107ONCD35_05,D8,SBC008337_D35,SBC008337_D35_0064
190107ONCD35_05,E8,SBC008339_D35,SBC008339_D35_0065
190107ONCD35_05,F8,SBC008341_D35,SBC008341_D35_0066
190107ONCD35_05,G8,SBC008341_D35,SBC008341_D35_0067
190107ONCD35_05,H8,SBC008341_D35,SBC008341_D35_0068
190107ONCD35_05,A9,SBC008342_D35,SBC008342_D35_0069
190107ONCD35_05,B9,SBC008342_D35,SBC008342_D35_0070
190107ONCD35_05,C9,SBC008342_D35,SBC008342_D35_0071
190107ONCD35_05,D9,SBC008342_D35,SBC008342_D35_0072
190107ONCD35_05,E9,SBC008343_D35,SBC008343_D35_0073
190107ONCD35_05,F9,SBC008343_D35,SBC008343_D35_0074
190107ONCD35_05,G9,SBC008343_D35,SBC008343_D35_0075
190107ONCD35_05,H9,SBC008345_D35,SBC008345_D35_0076
190107ONCD35_05,A10,SBC008345_D35,SBC008345_D35_0077
190107ONCD35_05,B10,SBC008345_D35,SBC008345_D35_0078
190107ONCD35_05,C10,SBC008345_D35,SBC008345_D35_0079
190107ONCD35_05,D10,SBC008346_D35,SBC008346_D35_0080
190107ONCD35_05,E10,SBC008346_D35,SBC008346_D35_0081
190107ONCD35_05,F10,SBC008346_D35,SBC008346_D35_0082
190107ONCD35_05,G10,SBC008346_D35,SBC008346_D35_0083
