id,well
7160_lys,A1
7162_lys,B1
7164_lys,C1
7166_lys,D1
7168_lys,E1
7170_lys,F1
7172_lys,G1
7174_lys,H1
7176_lys,A2
7178_lys,B2
7180_lys,C2
7182_lys,D2
7184_lys,E2
7186_lys,F2
7188_lys,G2
7190_lys,H2
7192_lys,A3
7194_lys,B3
7302_lys,C3
7304_lys,D3
7306_lys,E3
7308_lys,F3
7336_lys,G3
7312_lys,H3
7314_lys,A4
7152_lys,B4
7154_lys,C4
7156_lys,D4
7158_lys,E4
7196_lys,F4
7198_lys,G4
7200_lys,H4
7202_lys,A5
7204_lys,B5
7218_lys,C5
7220_lys,D5
7222_lys,E5
7224_lys,F5
7286_lys,G5
7288_lys,H5
7290_lys,A6
7292_lys,B6
7294_lys,C6
7274_lys,D6
7276_lys,E6
7278_lys,F6
7280_lys,G6
7282_lys,H6
7284_lys,A7
7238_lys,B7
7240_lys,C7
7242_lys,D7
7244_lys,E7
7246_lys,F7
7248_lys,G7
7250_lys,H7
7252_lys,A8
7254_lys,B8
7266_lys,C8
7268_lys,D8
7270_lys,E8
7272_lys,F8
7296_lys,G8
7298_lys,H8
7300_lys,A9
7332_lys,B9
7334_lys,C9
7338_lys,D9
7340_lys,E9
7342_lys,F9
7344_lys,G9
7346_lys,H9
7348_lys,A10
7350_lys,B10
7352_lys,C10
7354_lys,D10
7356_lys,E10
7358_lys,F10
7360_lys,G10
7362_lys,H10
7364_lys,A11
1454_lys,B11
1454_lys,C11
1454_lys,D11
1454_lys,E11
1454_lys,F11
1454_lys,G11
1454_lys,H11
