id,well
7409_lys,A1
7411_lys,B1
7413_lys,C1
7415_lys,D1
7417_lys,E1
7419_lys,F1
7421_lys,G1
7423_lys,H1
7425_lys,A2
7427_lys,B2
7429_lys,C2
7432_lys,D2
7434_lys,E2
7436_lys,F2
7438_lys,G2
7440_lys,H2
7447_lys,A3
7449_lys,B3
7451_lys,C3
7453_lys,D3
7455_lys,E3
7457_lys,F3
7459_lys,G3
7461_lys,H3
7463_lys,A4
7465_lys,B4
7467_lys,C4
7469_lys,D4
7473_lys,E4
4554_lys,F4
4555_lys,G4
4560_lys,H4
4582_lys,A5
6883_lys,B5
6879_lys,C5
6880_lys,D5
6914_lys,E5
6875_lys,F5
6876_lys,G5
6881_lys,H5
4800_lys,A6
4803_lys,B6
4837_lys,D6
4838_lys,E6
4804_lys,F6
4567_lys,G6
4572_lys,H6
4574_lys,A7
4573_lys,B7
6458_lys,C7
6459_lys,D7
6460_lys,E7
6461_lys,F7
6462_lys,G7
6463_lys,H7
6916_lys,A8
6874_lys,B8
6877_lys,C8
6878_lys,D8
6882_lys,E8
6884_lys,F8
6885_lys,G8
6886_lys,H8
6912_lys,A9
6913_lys,B9
4825_lys,C9
0095_lys,D9
