id,well
SBC007160,A1
SBC007348,A10
SBC007364,A11
SBC007176,A2
SBC007192,A3
SBC007314,A4
SBC007202,A5
SBC007290,A6
SBC007284,A7
SBC007252,A8
SBC007300,A9
SBC007162,B1
SBC007350,B10
SBC007216,B11
SBC007178,B2
SBC007194,B3
SBC007152,B4
SBC007204,B5
SBC007292,B6
SBC007238,B7
SBC007254,B8
SBC007332,B9
SBC007164,C1
SBC007352,C10
SBC007180,C2
SBC007302,C3
SBC007154,C4
SBC007218,C5
SBC007294,C6
SBC007240,C7
SBC007266,C8
SBC007334,C9
SBC007166,D1
SBC007354,D10
SBC007182,D2
SBC007304,D3
SBC007156,D4
SBC007220,D5
SBC007274,D6
SBC007242,D7
SBC007268,D8
SBC007338,D9
SBC007168,E1
SBC007356,E10
SBC007184,E2
SBC007306,E3
SBC007158,E4
SBC007222,E5
SBC007276,E6
SBC007244,E7
SBC007270,E8
SBC007340,E9
SBC007170,F1
SBC007358,F10
SBC007186,F2
SBC007308,F3
SBC007196,F4
SBC007224,F5
SBC007278,F6
SBC007246,F7
SBC007272,F8
SBC007342,F9
SBC007172,G1
SBC007360,G10
SBC007188,G2
SBC007336,G3
SBC007198,G4
SBC007286,G5
SBC007280,G6
SBC007248,G7
SBC007296,G8
SBC007344,G9
SBC007174,H1
SBC007362,H10
SBC007190,H2
SBC007312,H3
SBC007200,H4
SBC007288,H5
SBC007282,H6
SBC007250,H7
SBC007298,H8
SBC007346,H9
