well,id
A1,SBC007410_P
A2,SBC007164_P
A3,SBC007180_P
A4,SBC007238_P
A5,SBC007254_P
A6,SBC007156_P
A7,SBC007198_P
A8,SBC007430_P
A9,SBC007290_P
B1,SBC007412_P
B2,SBC007166_P
B3,SBC007182_P
B4,SBC007240_P
B5,SBC007256_P
B6,SBC007158_P
B7,SBC007200_P
B8,SBC007216_P
B9,SBC007292_P
C1,SBC007414_P
C2,SBC007168_P
C3,SBC007274_P
C4,SBC007242_P
C5,SBC007266_P
C6,SBC000314_P
C7,SBC007202_P
C8,SBC007218_P
C9,SBC007294_P
D1,SBC007416_P
D2,SBC007170_P
D3,SBC007276_P
D4,SBC007244_P
D5,SBC007268_P
D6,SBC000318_P
D7,SBC007204_P
D8,SBC007220_P
E1,SBC007418_P
E2,SBC007172_P
E3,SBC007278_P
E4,SBC007246_P
E5,SBC007270_P
E6,SBC000323_P
E7,SBC007422_P
E8,SBC007222_P
F1,SBC007420_P
F2,SBC007174_P
F3,SBC007280_P
F4,SBC007248_P
F5,SBC007272_P
F6,SBC004731_P
F7,SBC007424_P
F8,SBC007224_P
G1,SBC007160_P
G2,SBC007176_P
G3,SBC007282_P
G4,SBC007250_P
G5,SBC007152_P
G6,SBC006926_P
G7,SBC007426_P
G8,SBC007286_P
H1,SBC007162_P
H2,SBC007178_P
H3,SBC007284_P
H4,SBC007252_P
H5,SBC007154_P
H6,SBC007196_P
H7,SBC007428_P
H8,SBC007288_P
